장소,수정된 주소,위도,경도
대구어린이교통랜드,대구 수성구 동대구로 176,35.84766765,128.62803623953005
동성로,대구 중구 용덕동 12,35.87403,128.59715
진골목,대구 중구 진골목길 31,35.8683033,128.5925777
옻골마을,대구 동구 둔산동,35.90778,128.68861
이현공원,대구 서구 이현동,35.87628,128.53886
달성습지 생태학습관,대구 달성군 화원읍 구라1길,35.814713,128.4874044
팜다원,대구 수성구 진밭길 330,35.8171081,128.6557643
침산공원,대구 북구 침산동 1344-1,35.8920401,128.5878923
해맞이공원,대구 동구 효목동 212-2,35.8814761,128.6437167
불로동고분군,대구 동구 불로동,35.9040539,128.6338764
대구시민안전테마파크,대구 동구 팔공산로 1155,35.9671985,128.6988235
엄마아빠 어렸을적에,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
마비정벽화마을,대구 달성군 마비정길 262-5,35.7853706,128.5243673
비슬산,대구 달성군 유가읍,35.6940422,128.4597255
안지랑 곱창 골목,대구 남구 안지랑로16길 67,35.8362952,128.5760122
운암지 수변공원,대구 북구 구암동 349,35.929559,128.5581603
화원자연휴양림,대구 달성군 화원읍 화원휴양림길,35.7712848,128.537191
함지근린공원,대구 북구 동암로38길 12,35.9407549,128.5695487
치킨체험 테마파크 땅땅치킨랜드,대구 동구 팔공로 220-2,35.9551193,128.688228
하중도유채꽃단지,대구 북구 노곡동 740,35.91025,128.56134
달성노을공원,대구 달성군 논공읍 하리,35.7019357,128.4381843
대구약령시한의약박물관,대구 중구 달구벌대로415길 49,35.8682147,128.5902802
대구달성공원 새벽시장,대구 중구 달성공원로 35,35.871619,128.578885
대구섬유박물관,대구 동구 팔공로 227,35.9551193,128.688228
율하광장,대구 동구 안심로22길 40,35.8635067,128.695512
선원공원,대구 달서구 선원로 203,35.8591005,128.5059262
경상감영공원,대구 중구 경상감영길 99,35.870687,128.6035714
도동측백나무숲,대구 동구 도동,35.92533,128.66264
월곡역사공원,대구 달서구 상인로 134-9,35.8103884,128.5503246
최정산,대구 달성군 가창면,35.7778073,128.6476679
반야월연꽃단지,대구 동구 대림동 378-1,35.86723,128.74766
에코테마파크 대구숲 (휴업),대구 달성군 가창면 가창로,35.80313,128.62219
남평문씨본리세거지,대구 달성군 화원읍 인흥3길,35.7918008,128.5173207
사라온이야기마을,대구 군위군 군위읍,36.2399401,128.568785
자라니 농촌교육농장,대구 동구 구암3길 23,35.951348,128.6773232
달성 하목정,대구 달성군 하빈면 하산리,35.8787155,128.4009938
2.28기념중앙공원,대구 중구 동성로2길 80,35.869414500000005,128.59722058273363
대구녹색학습원,대구 수성구 달구벌대로 3170,35.8529892,128.6582164
달서목재문화관,대구 달서구 앞산순환로 248,35.8174768,128.5492131
시인이상화고택,대구 중구 계산동2가,35.86742,128.58967
한밤마을 돌담길,대구 군위군 부계면,36.07075,128.65745
달성습지,대구 달성군 화원읍 구라리,35.81036935,128.50253058335994
갓바위,대구 동구 갓바위로 267,35.9646,128.71888
대구방짜유기박물관,대구 동구 도장길 29,35.9664371,128.706146
국립대구과학관 꿈나무과학관,대구 달성군 유가읍 테크노대로6길,35.6852247,128.4663035
대구어린이천문대,대구 수성구 알파시티1로31길 37,35.835002,128.6811316
노원체육공원,대구 북구 노곡동 876,35.91025,128.56134
각산비나리공원,대구 동구 각산동 1064,35.8839617,128.7160585
공항교강변공원,대구 북구 복현동 163-16,35.8968175,128.6194541
장곡자연휴양림,대구 군위군 삼국유사면 장곡휴양림길,36.1327405,128.8247946
동대구역광장,대구 동구 동대구로 550,35.8791851,128.6283056
신암공원,대구 동구 신암동 664-18,35.88399,128.62359
학산공원,대구 달서구 월성동,35.828762,128.5155037
한방의료체험타운,대구 중구 중앙대로77길 45,35.8683815,128.5918543
유통단지공원,대구 북구 유통단지로 61,35.9088204,128.6131043
신숭겸장군유적지,대구 동구 신숭겸길 17,35.9414881,128.6407804
화산산성 하늘전망대,대구 군위군 삼국유사면,36.15227,128.82066
배실웨딩공원,대구 달서구 선원로23길 68,35.8608184,128.5026804
연암공원,대구 북구 산격동,35.90163,128.60464
희움 일본군 위안부 역사관,대구 중구 경상감영길 50,35.8708028,128.5859117
대구평화시장닭똥집골목,대구 동구 신암동 1339-39,35.88399,128.62359
구암서원,대구 북구 연암공원로17길 20,35.8976258,128.5982485
가창체육공원,대구 달성군 가창로 604,35.80313,128.62219
야시골공원,대구 수성구 범어동,35.8593608,128.6320249
무학산 유아숲체험원,대구 수성구 황금동,35.8457954,128.6263968
동촌파크광장놀이공원,대구 동구 효목동 1111,35.8814761,128.6437167
선돌공원,대구 달서구 월암동 431,35.8273206,128.5082398
범어공원,대구 수성구 황금동,35.8457954,128.6263968
어메이징파크 이시아,대구 동구 팔공로49길 51,35.9210472,128.6374284
그린웨이,대구 서구 당산로 343,35.8669959,128.5461421
제2석굴암,대구 군위군 부계면,36.07075,128.65745
앞산공원,대구 남구 앞산순환로,35.8343976,128.6033977
호산공원,대구 달서구 달서대로109길 70,35.8497633,128.4863425
화랑공원,대구 수성구 만촌로 151,35.872037750000004,128.6391477541224
호림강나루공원,대구 달서구 대천동 900,35.8228905,128.5030871
위천수변테마파크,대구 군위군 효령면,36.14663,128.59544
다사체육공원,대구 달성군 다사읍 다사로,35.8887397,128.471878
육신사,대구 달성군 하빈면 육신사길,35.9082624,128.4167598
유건산 전망대,대구 수성구 노변동,35.83098,128.70445
꽃보라동산,대구 북구 산격동 1384-1,35.90163,128.60464
불로동고분공원,대구 동구 불로동,35.9040539,128.6338764
서리지생태공원,대구 북구 동호동 73,35.96602,128.56596
크레이지팡팡,대구 중구 진골목길 32,35.8683033,128.5925777
편백숲체험농장,대구 동구 내동 65,35.96456,128.65425
목장053,대구 동구 사복동 218-8,35.87156,128.75354
선사유적공원,대구 달서구 진천동 470-38,35.8107208,128.5212715
와룡윗공원,대구 달서구 선원남로 5,35.8573522,128.5046345
리틀가든,대구 동구 도평로 169,35.9208087,128.6650595
여울체험농장,대구 달성군 다사읍 강정본길,35.8428406,128.4642197
비파산전망대,대구 남구 앞산순환로 454,35.8343976,128.6033977
옻골동산,대구 북구 구암동,35.929559,128.5581603
두류젊음의거리,대구 달서구 두류동,35.8566057,128.5648257
근대문화체험관 계산예가,대구 중구 서성로 6-1,35.8731604,128.5875764
나비생태원,대구 동구 팔공로50길 66,35.9214899,128.6434145
선돌마당근린공원,대구 달서구 월암로 63,35.825731,128.5122268
동호유적공원,대구 동구 동내동 1139,35.89042,128.7424
행복한밤마을,대구 군위군 부계면 한티로,36.0268872,128.6315373
예주가,대구 군위군 부계면,36.07075,128.65745
생각을 담는 정원,대구 수성구 매호동 264-9,35.85066,128.70837
성서운동장,대구 달서구 선원로 133,35.8588189,128.5228889
망우당공원,대구 동구 효목동,35.8814761,128.6437167
죽곡댓잎소리길,대구 달성군 다사읍 죽곡리,35.8531263,128.4677507399771
군위생활체육공원,대구 군위군 군위읍 서부리,36.2390136,128.5679833
한강공원,대구 북구 사수동 810,35.90089,128.51321
계명대학교 대구동산병원의료선교박물관,대구 중구 달성로 56,35.8768012,128.5819249
이월드 주주팜,대구 달서구 두류공원로 200,35.8522393,128.5623122
박물관 휴르,대구 수성구 국채보상로186길 47,35.8636023,128.6341765
태전공원,대구 북구 칠곡중앙대로 397-20,35.9360213,128.5486279
송해기념관 선비체험관,대구 달성군 옥포읍,35.7872116,128.4612293
대불공원,대구 북구 산격동,35.90163,128.60464
범어먹거리타운,대구 수성구 범어동,35.8593608,128.6320249
팔공산케이블카정상역,대구 동구 팔공산로185길 51-1,35.9903119,128.6944005
월곡역사박물관,대구 달서구 송현로7길 38,35.8182162,128.5463796
테크노폴리스중앙공원,대구 달성군 유가읍 테크노공원로,35.6916766,128.4607965
대구근대화거리,대구 중구 경상감영길 67,35.8708028,128.5859117
남천고택,대구 군위군 부계면,36.07075,128.65745
동성로로데오거리,대구 중구 삼덕동1가,35.86596,128.59744
대구어린이대공원,대구 수성구 동대구로 176,35.84766765,128.62803623953005
경북대학교 자연사박물관,대구 군위군 효령면 경북대로,36.1793605,128.5828917
도림사템플스테이,대구 동구 인산로 242,35.9550744,128.7150064
계명대학교 성서캠퍼스행소박물관,대구 달서구 달구벌대로 1095,35.8514798,128.5410689
안심체육공원,대구 동구 금호강변로 91,35.869654,128.6861292
땅땅식물랜드,대구 동구 팔공로 220-2,35.9551193,128.688228
신매공원,대구 수성구 달구벌대로650길 67,35.8337639,128.7091535
화원명곡체육공원,대구 달성군 화원읍,35.8024072,128.4964134
녹동서원,대구 달성군 가창면 우록길,35.7314021,128.6573549
헌책방골목,대구 중구 명륜로 71,35.8616487,128.5915426
봉산문화거리,대구 중구 봉산동,35.86322,128.59761
반고개무침회골목,대구 서구 달구벌대로375길 14-1,35.8630316,128.5702204
서구그린웨이장미원,대구 서구 중리동,35.86322,128.5404
화본역 급수탑,대구 군위군 산성면 화본리,36.1246715,128.6947806
상리공원,대구 서구 중리동,35.86322,128.5404
한샘청동공원,대구 달서구 대천동 353-5,35.8228905,128.5030871
동인동 찜갈비골목,대구 중구 동인동1가,35.87218,128.60357
상리봉전망대,대구 달성군 다사읍,35.8622907,128.4620011
팔공산분수대광장,대구 동구 용수동 27-5,35.99123,128.68344
장기동먹거리촌,대구 달서구 본리동,35.8409108,128.5392702
함지산,대구 북구 노곡동,35.91025,128.56134
수성파크랜드,대구 수성구 용학로 35-3,35.822718,128.6393846
대구대표도시숲,대구 달서구 성당동 474,35.8426178,128.5540792
대구스타디움동편광장,대구 수성구 노변동 650,35.83098,128.70445
이월드 알파카 목장,대구 달서구 두류공원로 200,35.8522393,128.5623122
포산공원,대구 달성군 현풍읍 테크노대로,35.6891995,128.4553824
비슬산 치유의숲,대구 달성군 유가읍,35.6940422,128.4597255
연경체육공원,대구 북구 연경동 820,35.96102,128.61361
야시골목,대구 중구 봉산동,35.86322,128.59761
노변공원,대구 수성구 노변공원로7길 11-11,35.8380888,128.6994773
두류공원인물동산,대구 달서구 두류동 585-12,35.8566057,128.5648257
대구수제화골목,대구 중구 중앙대로 449,35.8579739,128.5922977
안심근린공원,대구 동구 신기동 580,35.8656,128.70335
주라지테마파크 대구신세계점,대구 동구 동부로 149,35.8765658,128.6262441
팔공산,대구 군위군 부계면,36.07075,128.65745
이월드 버드파크,대구 달서구 두류공원로 200,35.8522393,128.5623122
군위전투전승기념공원,대구 군위군 삼국유사면 동부로,36.1311751,128.7512747
송현공원,대구 달서구 송현동,35.8274918,128.5526093
신서공원,대구 동구 동호로 98,35.86529,128.71815
수성 대흥동 유아숲체험원,대구 수성구 대흥동 608,35.82172,128.68411
장기공원,대구 달서구 장기동,35.8446408,128.519156
유가사,대구 달성군 유가읍,35.6940422,128.4597255
대구시민운동장,대구 북구 고성로 191,35.8811615,128.5821946
수성공원,대구 수성구 수성동4가 1090-15,35.86426,128.61567
화원체육공원,대구 달성군 화원읍 성산리,35.809764,128.512785
대명2공원,대구 남구 명덕시장길 29,35.845291,128.5897475
김광석스토리하우스,대구 중구 동덕로8길 14-3,35.8600126,128.6066946
조양회관,대구 동구 효목동,35.8814761,128.6437167
교항리이팝나무군락지,대구 달성군 옥포읍 교항리,35.7835913,128.440301839643
도원근린공원,대구 달서구 미리샘길 26,35.8073511,128.5440062
교동귀금속거리,대구 중구 동성로 80-11,35.8678431,128.5966739699789
세천늪근린공원,대구 달성군 다사읍,35.8622907,128.4620011
반계근린공원,대구 동구 율하동 1416,35.86652,128.69071
새못,대구 동구 신서동,35.88605,128.73152
평리공원,대구 서구 국채보상로49길 12,35.8720299,128.5572608
무지개공원,대구 달서구 본리서4길 17,35.8395774,128.5294097
안지랑골체육공원,대구 남구 대명동,35.83873,128.5751
웨딩거리,대구 중구 대봉동,35.8586783,128.603013
금호강 안심습지,대구 동구 대림동 502-11,35.86723,128.74766
마을마당공원,대구 달서구 월성동 611-2,35.828762,128.5155037
앞산카페거리,대구 남구 대명로 141,35.839421,128.5677881
김수환추기경사랑과나눔공원,대구 군위군 군위읍 군위금성로,36.24613,128.63221
달성도동서원,대구 달성군 구지면 구지서로,35.6792422,128.3637364
화본마을,대구 군위군 산성면 산성가음로,36.1053877,128.7089894
와룡산,대구 달성군 다사읍,35.8622907,128.4620011
운암지먹거리타운,대구 북구 구암동,35.929559,128.5581603
감삼공원,대구 달서구 감삼동 165-2,35.8485482,128.540915
충혼탑,대구 남구 앞산순환로 540,35.8343976,128.6033977
옹기종기행복마을,대구 동구 입석동 932-15,35.89855,128.65164
파계사,대구 동구 파계로 741,35.9935142,128.6378505
기상대기념공원,대구 동구 아양로9길 36,35.8875198,128.6178686
관음공원,대구 북구 칠곡중앙대로91길 21,35.9366235,128.5454286
달성삼가헌고택,대구 달성군 하빈면 묘리,35.90121725,128.44200550441838
어슬렁대추정원,대구 군위군 의흥면 수서길,36.1787972,128.6878069
호림공원,대구 달서구 호산동 714,35.8506766,128.4881089
서상돈고택,대구 중구 서성로 6-1,35.8731604,128.5875764
구암공원,대구 북구 구암로32길 35,35.9294778,128.5570788
용산근린공원,대구 달서구 용산로 205,35.8450868,128.5315894
제1수창공원,대구 중구 수창동 174,35.87504,128.58662
화암공원,대구 북구 연경동 1046,35.96102,128.61361
모명재,대구 수성구 달구벌대로525길 14-23,35.8575018,128.6495472
금호강생태공원,대구 동구 방촌동 1140,35.8790343,128.6644411
향토역사관,대구 중구 달성공원로 35,35.871619,128.578885
세천늪테마정원,대구 달성군 다사읍,35.8622907,128.4620011
화산산성,대구 군위군 삼국유사면,36.15227,128.82066
서구그린웨이백합원,대구 서구 중리동,35.86322,128.5404
명봉산,대구 북구 읍내동,35.9480902,128.5521832
인동촌아나고골목,대구 서구 비산동,35.88021,128.5713
대구교육팔공산수련원체육체험학습장,대구 동구 도평로 30,35.9208087,128.6650595
공룡공원,대구 남구 봉덕동,35.8405228,128.5985277
매곡근린공원,대구 달성군 다사읍 대실역북로2길,35.8649269,128.4658675
지산근린공원,대구 수성구 용학로 267,35.822718,128.6393846
파란공원,대구 북구 태전동 1104,35.9234127,128.5459483
영남제일관,대구 수성구 만촌동,35.8637921,128.6463405
묘골마을,대구 달성군 하빈면 육신사길,35.9082624,128.4167598
대구향교,대구 중구 명륜로 112,35.8616487,128.5915426
만촌체육공원,대구 수성구 만촌동,35.8637921,128.6463405
마천산산림욕장,대구 달성군 다사읍,35.8622907,128.4620011
성암산,대구 수성구 욱수동,35.81206,128.69754
대구국립박물관,대구 수성구 청호로 321,35.84580965,128.63784449565395
북성공구골목,대구 중구 태평로3가,35.8771842,128.5857221
대구 옻골마을 돌담길,대구 동구 둔산동,35.90778,128.68861
달성토성마을 온실,대구 서구 국채보상로81길 26-25,35.8750808,128.5748558
학소대,대구 군위군 삼국유사면,36.15227,128.82066
석산약바람산촌생태마을,대구 군위군 삼국유사면,36.15227,128.82066
대신동양말골목,대구 중구 달구벌대로 1991-7,35.8656314,128.5966313
호돌이공원,대구 수성구 수성동4가 1009-2,35.86426,128.61567
대구보건대학교 인당뮤지엄,대구 북구 영송로 15,35.9299324,128.5444991
중동시장,대구 수성구 청수로 27-21,35.8518227,128.6592492
군위 아미타여래삼존 석굴,대구 군위군 부계면,36.07075,128.65745
동천근린공원,대구 북구 동천동 950-1,35.9397814,128.5597379
달성현풍석빙고,대구 달성군 현풍동로 86,35.6937993,128.4495596
앞산맛둘레길,대구 남구 대명동,35.83873,128.5751
대구선동촌공원,대구 동구 동촌역사로3길 35,35.8907541,128.6492707
참살이농장,대구 달성군 옥포읍 옥포로,35.7458635,128.4848337
팔거광장,대구 북구 동천동 903-3,35.9397814,128.5597379
약전골목,대구 중구 남성로,35.8683,128.58952
군위삼존석굴,대구 군위군 부계면,36.07075,128.65745
이천동 99계단 벽화마을,대구 남구 이천로29길 28-1,35.85337,128.597164
대구은행 금융박물관,대구 수성구 달구벌대로 2310,35.8529892,128.6582164
