장소,별점,주소
대구오마카세 스시아타이,NaN,대구 수성구 청솔로14길 18 3층
카페동이 1호점,4.63,대구 수성구 동대구로 95 수성 SK 리더스뷰
차이,4.58,대구 중구 동성로2길 18-15
다나,4.57,대구 중구 동성로2길 12-24 2층
민스크,4.39,대구 남구 현충로6길 9-2
신서문김밥,4.54,대구 중구 큰장로26길 6 서문시장 제5지구 1층 제1호
대도양조장,4.39,대구 중구 동덕로14길 47
바뷔치 중앙로점,4.54,대구 중구 중앙대로81길 1
해풍해물칼국수 대구본점,4.57,대구 달서구 야외음악당로39안길 8
상무초밥 죽전점,NaN,"대구 달서구 와룡로 169 상가 103동 109, 110호"
딥커피로스터스,4.53,대구 중구 봉산문화2길 41 1층
돼지고기 오마카세 현방,NaN,대구 수성구 상록로 39 대연빌딩 4층
버들식당 본점,4.42,대구 달서구 두류공원로28길 8
태능집,4.44,대구 중구 달성로22길 86
상무초밥 대구범어점,NaN,"대구 수성구 상록로 15 판매시설동 1층 156호,157호"
인투 동성로점,4.61,대구 중구 동성로4길 95
류센소 동성로점,NaN,대구 중구 공평로 57 1층 류센소
곤지곤지,4.39,대구 달성군 가창면 퇴계길 43-8
소담히 동성로,4.92,대구 중구 동성로4길 6
갓파스시 대구점,4.22,대구 중구 동성로2길 45 2층 갓파스시 대구점
도쿄시장 동성로 본점,4.5,대구 중구 동성로4길 43 1층 도쿄시장
빠다롤뺑프랑스,4.51,대구 중구 동성로1길 41
만재네 고성점,NaN,대구 북구 옥산로 96 1층
화로38 수성못점,NaN,대구 수성구 수성못2길 55-1 4층
씨다씨 수성못직영점,NaN,대구 수성구 용학로 76 3층
전농부의 풀꽃밥상,4.22,대구 동구 파계로 497
유쾌한뭉티기 대구삼덕점,NaN,대구 중구 공평로 26-1 1층
갈비만 대구본점,4.54,대구 달서구 조암로 58 갈비만 대구본점
오롯이 스토어,4.93,대구 중구 교동3길 36 1층
일품,NaN,대구 동구 화랑로 93 1층 일품
팜테이블,4.47,대구 중구 동성로6길 75 1층
페이스포포,NaN,대구 수성구 고모로 15-1
마루막창 대구동촌유원지점,4.4,대구 동구 효동로2길 33-7 1층 마루막창 동촌점
