오브너,4.72,대구 중구 봉산문화1길 13 1층 카페
굿테이스트커피 by 커피맛을조금아는남자,NaN,대구 동구 팔공산로277길 26 26-1(백안동)
카페 워킹컵,NaN,대구 중구 달구벌대로 2077 9층
연리희재 대구점,NaN,대구 수성구 들안로14길 53 1층
카페멜트,NaN,대구 북구 공항로 89
까사넬로,4.63,대구 중구 교동1길 47
루나루이스,4.45,대구 달서구 대명천로 245
공주당,NaN,대구 중구 동성로 6-2
피카커피 진천점,NaN,대구 달서구 진천로 38 제1동 1층 피카커피 진천점
스타벅스 대구그랜드호텔R점,4.59,대구 수성구 동대구로 305
인더매스밀즈 신월성,NaN,대구 달서구 조암로6길 6-45 1층 인더매스 밀즈 신월성
마고노더니스_마고플레인태전점,NaN,대구 북구 팔거천서로 35 태전동 1073-1번지
퍼즈스페셜티커피,NaN,대구 북구 공항로 92 1층
로맨스빠빠,4.52,대구 중구 국채보상로 492-6
커피맛을조금아는남자 본점,NaN,대구 수성구 범어천로 153 1층
오마모리 진천,NaN,대구 달서구 월배로23길 6 오마모리 진천
카페오하이오 교동,4.61,대구 중구 국채보상로 629 이층 카페오하이오
코러스커피,4.77,대구 중구 국채보상로 625 2층
윈드윈,4.66,대구 중구 달구벌대로405길 42 1층
힙스,NaN,대구 중구 동성로4길 109 2층
읍천리382 본점,4.51,대구 남구 안골길 17-1
벨베꼼메,NaN,대구 달성군 다사읍 세천북로 66
게이블루프커피,4.42,대구 달성군 다사읍 강정본길 77
폴 바셋 대구 수성못점,NaN,대구 수성구 수성못길 28
퀸즈크라운베이커리카페,4.46,대구 서구 서대구로 118 1층~4층
인더매스 삼덕,4.58,대구 중구 공평로8길 29 1층
콩카페 대구동성로로데오점,NaN,대구 중구 동성로5길 45 2층
동빙,NaN,대구 중구 동성로1길 12-1 2층
복호두 대구감삼점,NaN,대구 달서구 와룡로 138 숭조빌딩 1층
헤이듀,NaN,대구 중구 대봉로 253 1층
두낫디스터브 동대구점,4.7,대구 동구 동부로30길 9 나동 1층
피에스 동성로,NaN,대구 중구 동성로3길 5 1층
헤이차일드,4.64,대구 동구 동부로32길 9 1층
아트플렉스 수성못,4.4,대구 수성구 용학로 92-4 수성스퀘어 1층 106호 아트플렉스
동성로카페 스위트앤드,NaN,대구 중구 동성로2길 12-36 2층 스위트앤드
사이커피 수성못,NaN,대구 수성구 무학로 123 사이커피
카페 담,4.38,대구 달성군 유가읍 유가사2길 15
브릭62,4.64,대구 중구 봉산문화길 62 1층
스타벅스 대구복현DT점,NaN,대구 북구 대학로 150
핸즈커피 성북교점,4.52,대구 북구 침산로 198
리시트,4.64,대구 북구 고성북로 28-10
도우맨도넛,4.72,대구 동구 동부로30길 3-5 DOUGHMAN
최가네케익,4.47,대구 중구 동성로1길 29-6
모리스커피,NaN,대구 중구 중앙대로61길 15
바닐라크럼브,5,대구 중구 봉산문화2길 2 1층
시류,NaN,대구 남구 대봉로19길 6-3 1층(골목 안 빨간지붕)
핸즈커피 동촌유원지점,4.48,대구 동구 효동로6길 5-6
피카커피,4.49,대구 북구 학정로110길 24-1
슬로울리 인 무학,4.24,"대구 수성구 무학로 189 상가5동 1,2층"
오르다카페,NaN,대구 남구 안지랑로 11
빌리웍스,4.47,대구 북구 고성북로10길 41 빌리웍스
하프커피 대구,4.5,대구 동구 동부로 149 신세계백화점 지하1층
카페도담히,NaN,대구 중구 교동3길 26 1층 카페 도담히
카페크림,NaN,대구 달서구 서당로3길 70 1층 카페크림
헤이트커피,4.89,대구 중구 교동4길 33-18 1층 HAYT
스타벅스 수성레이크점,4.5,대구 수성구 수성못길 4
지이즈,NaN,대구 남구 큰골길 38 1층
플루니,NaN,대구 중구 동성로2길 12-32 1층 카페 플루니
코즈,NaN,대구 중구 달구벌대로 2125-8 COZ
카페스톤,4.34,대구 군위군 부계면 한티로 1525-6
보스턴커피,NaN,대구 동구 방촌로 58
푸푸커피 대구 본점,4.49,대구 달서구 와룡로 169
