장소,별점,주소
써브웨이 화성송산그린시티,NaN,"경기 화성시 수노을중앙로 130 1층 104, 105호"
앞산구움미학,NaN,대구 남구 안지랑로15길 52-1 1층 101호
화덕꽃피자,NaN,대구 남구 앞산순환로 397 1층
현짬뽕,4.55,대구 남구 대봉로 89
조조칼국수 앞산점,4.53,대구 남구 현충로15길 13-1
오무하무,NaN,대구 남구 안지랑로 21 1층 오무하무
앞산 큰골집 본점,4.75,대구 남구 큰골길 35 앞산큰골집
고바카츠,NaN,대구 남구 현충로 41-1 1층
브리에브레드,NaN,대구 남구 현충로7길 7 1층
지환이네왕족발 본점,4.68,대구 남구 대명복개로 96
크래프터,4.53,대구 남구 현충로 41-3
청밭추어탕 만촌점,NaN,대구 수성구 만촌로 142 1층(만촌동)
묘운,NaN,대구 달성군 하빈면 육신사길 34 1층
전통맛손칼국수,NaN,대구 달성군 하빈면 묘동길 205
카페투고,NaN,대구 달성군 하빈면 육신사길 3
윤이푸드,NaN,대구 달성군 하빈면 하산4길 77
출장뷔페,NaN,경북 칠곡군 왜관읍 금남리
범산목장 두산점,4.48,대구 수성구 동대구로 59 대우트럼프월드아파트 D동 104호
OK참숯목장,NaN,대구 북구 대천로7길 6-15 야우목장
한우목장,4.42,대구 달서구 장기로57서길 6
반야월OK한우목장김또깡1호점,4.33,대구 동구 동호로2길 37
산수골목장,4.2,대구 달서구 월배로5길 8-11
바다목장,NaN,대구 북구 칠곡중앙대로91길 22
로비아네,4.63,대구 북구 옥산로 111 1층
네시앙,4.37,대구 수성구 동대구로 394 네시앙
레디투커피,NaN,대구 수성구 청솔로 71 1층
리틀티가든,NaN,울산 울주군 상북면 신기길 50-1
힙포 본점,4.69,경기 고양시 일산동구 고봉로 771 1층
앞산전망대(비파산전망대) 카페,NaN,대구 남구 앞산순환로 454
이디야커피 성서운동장점,4.4,"대구 달서구 선원로23길 5 1,2층"
최쉐프의아구왕,NaN,경기 구리시 벌말로147번길 59 1층
연화산,NaN,"경기 구리시 벌말로 76 1, 2층"
형제조각 여의도,NaN,서울 영등포구 국제금융로8길 16 지하1층 B132호
가양칼국수버섯매운탕,4.44,서울 영등포구 국제금융로 78 홍우빌딩 지하 1층
진주집,4.4,서울 영등포구 국제금융로6길 33 지하 1층
코코로카라 더현대 서울,NaN,서울 영등포구 여의대로 108
테디뵈르하우스 더현대서울점,NaN,서울 영등포구 여의대로 108
수티문,NaN,서울 영등포구 국제금융로8길 27-8 지하1층 수티문
타마,NaN,서울 영등포구 은행로 30 1층
주옥발,NaN,"서울 영등포구 여의대방로69길 19 상가동 2층 201호, 202호"
플랩잭팬트리 태전점,NaN,경기 광주시 고불로 106 3층 3호
삼대족발 중대물빛공원점,4.43,경기 광주시 순암로 294 1층
오호리준 범어본사직영점,4.71,대구 수성구 동대구로59길 14-2 101호
딥커피로스터스 범어,NaN,대구 수성구 범어천로 155-1 1층
라파테,NaN,대구 수성구 상록로 22-15 La pate
다이닝슬로우라이프,NaN,대구 수성구 상록로2길 45
대구만두 범어점,4.81,대구 수성구 달구벌대로480길 21 1층 대구만두 범어점 (대구광역시 수성구 범어동 547-3 1층 대구만두 범어점)
만재네 범어점,NaN,대구 수성구 상록로 10
커피맛을조금아는남자 본점,NaN,대구 수성구 범어천로 153 1층
다이닝한재여관,4.44,대구 수성구 동대구로59길 10-15
짬뽕지존 대구범어점,NaN,대구 수성구 상록로 5 2층
우니카트,4.55,대구 수성구 범어천로 151-4
민물장어 직판장 풍천관 본점,4.89,대구 달서구 월곡로 268-10 풍천관 본점
돼지만 대구본점,4.62,대구 달서구 상화북로 192
월촌역 청춘삼겹살,4.5,대구 달서구 송현로 40-1 청춘삼겹살
비비당,NaN,대구 달서구 월배로 203 1층 비비당
가야성,4.37,대구 달서구 월배로83길 7
심야매점 상인동본점,4.4,대구 달서구 월배로 199 1층 심야매점
베를린 에스프레소 바,4.65,대구 달서구 미리샘길 82 1층
최윤숙안동생고기뭉티기 본점,4.46,대구 달서구 월곡로47길 28
황금쭈꾸미집 상인점,4.92,대구 달서구 월곡로51길 17 황금쭈꾸미집
샤브20 상인점,NaN,대구 달서구 월배로 227 2층
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
오무하무 동성로점,NaN,대구 중구 동성로3길 5 2층
몽블랑드파리,NaN,대구 중구 동성로6길 21
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층
숨은집 동성로본점,4.65,대구 중구 동성로1길 46-23 1층
신라식당,4.39,대구 중구 중앙대로 406-8
도마29,4.62,대구 중구 동성로1길 46-2 도마29
과정,NaN,대구 중구 동성로2길 4-5 과정
차이,4.58,대구 중구 동성로2길 18-15
연남한양집,NaN,서울 마포구 동교로46길 26 1층
오마,4.57,서울 마포구 성미산로 192 2F 오마
연경 연희점,NaN,서울 서대문구 연희로 145
오버딥,NaN,"서울 마포구 성미산로 149-8 2, 3층, 루프탑"
미니히노코,NaN,서울 마포구 동교로38길 33-16 2층 미니히노코
쿳사 연희,4.73,서울 서대문구 증가로 48
우동카덴,4.3,서울 서대문구 연희로 173 거화빌딩 1층
카페 마,NaN,서울 서대문구 연희로11가길 48-10
작은스페인,4.57,서울 서대문구 연희로25길 37
그로어스,NaN,서울 서대문구 연희로27길 52
윤쉐프의 고기집,4.54,경북 구미시 신시로14길 10 상산에이스타운 105호
진남체육공원 식당,4.06,전남 여수시 진남체육관길 29
카페 날마다봄날,4.67,경기 의왕시 부곡중학길 69-20 2층
샤브마니아 포항양덕점,NaN,경북 포항시 북구 장량로 226 샤브마니아
일등한우 율하점,NaN,대구 동구 안심로22길 60-13 광장프라자2
커피방앗간정미소,4.68,경북 포항시 남구 희망대로 973 커피방앗간정미소
생수정,4.32,대구 달성군 가창면 우록3길 58
호랑이장칼국수 가창본점,NaN,대구 달성군 가창면 우록길 184 1층
밥을짓다 가창점,NaN,대구 달성군 가창면 우록1길 3-20 가창 밥을짓다
룰리커피 가창점,NaN,대구 달성군 가창면 우록길 76
노즈커피,NaN,대구 달성군 가창면 우록길 244 A동
감나무집,NaN,대구 달성군 가창면 우록3길 73
우록뜰,NaN,대구 달성군 가창면 우록길 127 우록뜰
커피 빈잔,4.6,대구 달성군 가창면 우록길 177-11
덕이네,NaN,대구 달성군 가창면 우록길 287 1층
숲속의 피자,NaN,대구 달성군 가창면 우록길 131 가창카페 아트도서관
푸른회식당,4.46,대구 서구 달구벌대로375길 14-1
반고개의성무침회본점,4.49,대구 서구 달구벌대로375길 17
똘똘이식당,4.37,대구 서구 달구벌대로375길 31
호남원조식당,4.58,대구 서구 달구벌대로375길 26-1
하프힐,NaN,대구 서구 달구벌대로375길 23-1 하프힐 1층
늘푸른무침회,4.38,대구 서구 달구벌대로375길 11-2
반고개무침회,4.34,대구 서구 달구벌대로375길 28 반고개무침회
